context,stratum,sol_acc
SENT,H1,0.9210526315789473
SENT,CTRL_HOLD,0.9545454545454546
SENT,PLAIN,0.9423076923076923
SENT,CTRL_RAND,0.0
SENT,H2,0.9069767441860465
W256,H1,0.9210526315789473
W256,CTRL_HOLD,1.0
W256,PLAIN,0.9807692307692307
W256,CTRL_RAND,0.8888888888888888
W256,H2,0.9302325581395349
W1024,H1,0.9473684210526315
W1024,CTRL_HOLD,0.9772727272727273
W1024,PLAIN,0.9807692307692307
W1024,CTRL_RAND,0.8888888888888888
W1024,H2,0.9302325581395349
W4096,H1,0.9473684210526315
W4096,CTRL_HOLD,0.9545454545454546
W4096,PLAIN,0.9807692307692307
W4096,CTRL_RAND,1.0
W4096,H2,0.9069767441860465
